ref_area,time_period,population
FIN,1971,4612124.0
FIN,1972,4639656.0
FIN,1973,4666079.0
FIN,1974,4690575.0
FIN,1975,4711440.0
FIN,1976,4725665.0
FIN,1977,4738900.0
FIN,1978,4752527.0
FIN,1979,4764691.0
FIN,1980,4779537.0
FIN,1981,4799962.0
FIN,1982,4826931.0
FIN,1983,4855786.0
FIN,1984,4881806.0
FIN,1985,4902202.0
FIN,1986,4918150.0
FIN,1987,4932123.0
FIN,1988,4946487.0
FIN,1989,4964370.0
FIN,1990,4986433.0
FIN,1991,5013737.0
FIN,1992,5041990.0
FIN,1993,5066452.0
FIN,1994,5088324.0
FIN,1995,5107787.0
FIN,1996,5124573.0
FIN,1997,5139839.0
FIN,1998,5153499.0
FIN,1999,5165470.0
FIN,2000,5176203.0
FIN,2001,5188005.0
FIN,2002,5200598.0
FIN,2003,5213010.0
FIN,2004,5228173.0
FIN,2005,5246100.0
FIN,2006,5266266.0
FIN,2007,5288719.0
FIN,2008,5313398.0
FIN,2009,5338867.0
FIN,2010,5363341.0
FIN,2011,5388272.0
FIN,2012,5413967.0
FIN,2013,5438975.0
FIN,2014,5461507.0
FIN,2015,5479528.0
FIN,2016,5495297.0
FIN,2017,5508209.0
FIN,2018,5515525.0
FIN,2019,5521605.0
FIN,2020,5529545.0
FIN,2021,5541020.0
GRC,1950,7554102.0
GRC,1951,7632801.0
GRC,1952,7743746.0
GRC,1953,7836110.0
GRC,1954,7893412.0
GRC,1955,7965538.0
GRC,1956,8031013.0
GRC,1957,8096218.0
GRC,1958,8173129.0
GRC,1959,8258162.0
GRC,1960,8327405.0
GRC,1961,8398050.0
GRC,1962,8448233.0
GRC,1963,8479625.0
GRC,1964,8510429.0
GRC,1965,8550333.0
GRC,1966,8613651.0
GRC,1967,8716441.0
GRC,1968,8740765.0
GRC,1969,8772764.0
GRC,1970,8792806.0
GRC,1971,8831036.0
GRC,1972,8888628.0
GRC,1973,8929086.0
GRC,1974,8962023.0
GRC,1975,9046542.0
GRC,1976,9167190.0
GRC,1977,9308479.0
GRC,1978,9429959.0
GRC,1979,9548258.0
GRC,1980,9642505.0
GRC,1981,9729350.0
GRC,1982,9789513.0
GRC,1983,9846627.0
GRC,1984,9895801.0
GRC,1985,9934294.0
GRC,1986,9967264.0
GRC,1987,10000644.0
GRC,1988,10037037.0
GRC,1989,10089550.0
GRC,1990,10196801.0
GRC,1991,10319928.0
GRC,1992,10399058.0
GRC,1993,10460409.0
GRC,1994,10512924.0
GRC,1995,10562160.0
GRC,1996,10608801.0
GRC,1997,10661264.0
GRC,1998,10720507.0
GRC,1999,10761698.0
GRC,2000,10805806.0
GRC,2001,10862129.0
GRC,2002,10902022.0
GRC,2003,10928072.0
GRC,2004,10955142.0
GRC,2005,10987316.0
GRC,2006,11020366.0
GRC,2007,11048466.0
GRC,2008,11077839.0
GRC,2009,11107017.0
GRC,2010,11121344.0
GRC,2011,11104900.0
GRC,2012,11045010.0
GRC,2013,10965209.0
GRC,2014,10892415.0
GRC,2015,10820883.0
GRC,2016,10775966.0
GRC,2017,10754679.0
GRC,2018,10732877.0
GRC,2019,10721584.0
GRC,2020,10698597.0
GRC,2021,10656962.0
ESP,1950,28069695.0
ESP,1951,28207080.0
ESP,1952,28404771.0
ESP,1953,28633541.0
ESP,1954,28862380.0
ESP,1955,29095373.0
ESP,1956,29329776.0
ESP,1957,29577443.0
ESP,1958,29857438.0
ESP,1959,30150512.0
ESP,1960,30415589.0
ESP,1961,30711863.0
ESP,1962,31023366.0
ESP,1963,31296651.0
ESP,1964,31609195.0
ESP,1965,31954292.0
ESP,1966,32283194.0
ESP,1967,32682947.0
ESP,1968,33113135.0
ESP,1969,33441054.0
ESP,1970,33752818.0
ESP,1971,34216274.0
ESP,1972,34571714.0
ESP,1973,34921497.0
ESP,1974,35287558.0
ESP,1975,35687714.0
ESP,1976,36118035.0
ESP,1977,36563834.0
ESP,1978,36971471.0
ESP,1979,37289006.0
ESP,1980,37526911.0
ESP,1981,37764458.0
ESP,1982,37987108.0
ESP,1983,38160263.0
ESP,1984,38325244.0
ESP,1985,38467025.0
ESP,1986,38571941.0
ESP,1987,38682322.0
ESP,1988,38764307.0
ESP,1989,38821377.0
ESP,1990,38860827.0
ESP,1991,38941622.0
ESP,1992,39147940.0
ESP,1993,39356082.0
ESP,1994,39547353.0
ESP,1995,39718895.0
ESP,1996,39884246.0
ESP,1997,40049974.0
ESP,1998,40214066.0
ESP,1999,40369667.0
ESP,2000,40554387.0
ESP,2001,40766049.0
ESP,2002,41423520.0
ESP,2003,42196231.0
ESP,2004,42859172.0
ESP,2005,43662613.0
ESP,2006,44360521.0
ESP,2007,45236004.0
ESP,2008,45983169.0
ESP,2009,46367550.0
ESP,2010,46562483.0
ESP,2011,46736257.0
ESP,2012,46766403.0
ESP,2013,46593236.0
ESP,2014,46455123.0
ESP,2015,46410149.0
ESP,2016,46449874.0
ESP,2017,46532869.0
ESP,2018,46728814.0
ESP,2019,47105358.0
ESP,2020,47355685.0
ESP,2021,47331545.0
ISR,1950,1103000.0
ISR,1951,1324000.0
ISR,1952,1429800.0
ISR,1953,1467700.0
ISR,1954,1500600.0
ISR,1955,1555300.0
ISR,1956,1626300.0
ISR,1957,1721200.0
ISR,1958,1782700.0
ISR,1959,1836200.0
ISR,1960,2150400.0
ISR,1961,2234200.0
ISR,1962,2331800.0
ISR,1963,2430100.0
ISR,1964,2525600.0
ISR,1965,2598400.0
ISR,1966,2657400.0
ISR,1967,2708000.0
ISR,1968,2806700.0
ISR,1969,2879100.0
ISR,1970,2958200.0
ISR,1971,3045600.0
ISR,1972,3225000.0
ISR,1973,3277900.0
ISR,1974,3377200.0
ISR,1975,3455300.0
ISR,1976,3533100.0
ISR,1977,3613000.0
ISR,1978,3692600.0
ISR,1979,3786400.0
ISR,1980,3877700.0
ISR,1981,3949800.0
ISR,1982,4020700.0
ISR,1983,4106100.0
ISR,1984,4159100.0
ISR,1985,4233000.0
ISR,1986,4298800.0
ISR,1987,4368900.0
ISR,1988,4441700.0
ISR,1989,4518200.0
ISR,1990,4660200.0
ISR,1991,4949100.0
ISR,1992,5123500.0
ISR,1993,5261400.0
ISR,1994,5399300.0
ISR,1995,5544900.0
ISR,1996,5685100.0
ISR,1997,5828900.0
ISR,1998,5970700.0
ISR,1999,6125300.0
ISR,2000,6289200.0
ISR,2001,6439037.0
ISR,2002,6569957.0
ISR,2003,6689748.0
ISR,2004,6808969.0
ISR,2005,6930128.0
ISR,2006,7053707.0
ISR,2007,7180160.0
ISR,2008,7331353.0
ISR,2009,7485565.0
ISR,2010,7623561.0
ISR,2011,7765832.0
ISR,2012,7910525.0
ISR,2013,8059456.0
ISR,2014,8215668.0
ISR,2015,8380149.0
ISR,2016,8546009.0
ISR,2017,8713268.0
ISR,2018,8882764.0
ISR,2019,9054026.0
ISR,2020,9215113.0
ISR,2021,9371400.0
MEX,1950,27026573.0
MEX,1951,27780135.0
MEX,1952,28578641.0
MEX,1953,29418995.0
MEX,1954,30311877.0
MEX,1955,31272636.0
MEX,1956,32281478.0
MEX,1957,33337148.0
MEX,1958,34439604.0
MEX,1959,35591229.0
MEX,1960,36786543.0
MEX,1961,38025871.0
MEX,1962,39306372.0
MEX,1963,40619346.0
MEX,1964,41970377.0
MEX,1965,43359231.0
MEX,1966,44779078.0
MEX,1967,46234469.0
MEX,1968,47720198.0
MEX,1969,49236362.0
MEX,1970,50778729.0
MEX,1971,52354238.0
MEX,1972,53973953.0
MEX,1973,55619995.0
MEX,1974,57293865.0
MEX,1975,58993234.0
MEX,1976,60702805.0
MEX,1977,62414539.0
MEX,1978,64131336.0
MEX,1979,65849531.0
MEX,1980,67561216.0
MEX,1981,69267849.0
MEX,1982,70973052.0
MEX,1983,72671675.0
MEX,1984,74359027.0
MEX,1985,76030535.0
MEX,1986,77689757.0
MEX,1987,79339498.0
MEX,1988,80970606.0
MEX,1989,82579032.0
MEX,1990,84169571.0
MEX,1991,85748742.0
MEX,1992,87312337.0
MEX,1993,88850856.0
MEX,1994,90362709.0
MEX,1995,91843905.0
MEX,1996,93294783.0
MEX,1997,94720541.0
MEX,1998,96116960.0
MEX,1999,97482584.0
MEX,2000,98785275.0
MEX,2001,100105299.0
MEX,2002,101493987.0
MEX,2003,102890474.0
MEX,2004,104272444.0
MEX,2005,105669369.0
MEX,2006,107155391.0
MEX,2007,108744845.0
MEX,2008,110405454.0
MEX,2009,112095388.0
MEX,2010,113748671.0
MEX,2011,115367452.0
MEX,2012,116935670.0
MEX,2013,118453929.0
MEX,2014,119936411.0
MEX,2015,121347800.0
MEX,2016,122715165.0
MEX,2017,124041731.0
MEX,2018,125327797.0
MEX,2019,126577691.0
MEX,2020,127792286.0
MEX,2021,128972439.0
IND,1950,357021099.0
IND,1951,364922361.0
IND,1952,372997190.0
IND,1953,381227705.0
IND,1954,389731406.0
IND,1955,398577994.0
IND,1956,407656597.0
IND,1957,416935397.0
IND,1958,426295762.0
IND,1959,435900354.0
IND,1960,445954580.0
IND,1961,456351876.0
IND,1962,467024194.0
IND,1963,477933619.0
IND,1964,489059313.0
IND,1965,500114349.0
IND,1966,510992619.0
IND,1967,521987072.0
IND,1968,533431910.0
IND,1969,545314672.0
IND,1970,557501299.0
IND,1971,569999176.0
IND,1972,582837973.0
IND,1973,596107482.0
IND,1974,609721951.0
IND,1975,623524221.0
IND,1976,637451448.0
IND,1977,651685626.0
IND,1978,666267763.0
IND,1979,681248383.0
IND,1980,696828384.0
IND,1981,712869299.0
IND,1982,729169466.0
IND,1983,745826543.0
IND,1984,762895159.0
IND,1985,780242084.0
IND,1986,797878993.0
IND,1987,815716126.0
IND,1988,833729679.0
IND,1989,852012674.0
IND,1990,870452166.0
IND,1991,888941757.0
IND,1992,907574050.0
IND,1993,926351296.0
IND,1994,945261958.0
IND,1995,964279130.0
IND,1996,983281215.0
IND,1997,1002335230.0
IND,1998,1021434576.0
IND,1999,1040500052.0
IND,2000,1059633677.0
IND,2001,1078970908.0
IND,2002,1098313040.0
IND,2003,1117415124.0
IND,2004,1136264580.0
IND,2005,1154638709.0
IND,2006,1172373786.0
IND,2007,1189691811.0
IND,2008,1206734805.0
IND,2009,1223640159.0
IND,2010,1240613620.0
IND,2011,1257621190.0
IND,2012,1274487217.0
IND,2013,1291132067.0
IND,2014,1307246512.0
IND,2015,1322866502.0
IND,2016,1338636340.0
IND,2017,1354195678.0
IND,2018,1369003306.0
IND,2019,1383112051.0
IND,2020,1396387126.0
IND,2021,1407563842.0
ROU,1950,16392974.0
ROU,1951,16612736.0
ROU,1952,16828585.0
ROU,1953,17041123.0
